,Unnamed: 0,_id,name,reviews,stars
159,159,65098d07c0f914f394936078,이니,여러 시설을 저렴하게 이용 할수있네요 ! 꾸준히 써볼려고 합니다,별표 5개 만점에 5개를 받았습니다.
160,160,65098d07c0f914f394936079,김병수,운동한만큼 금액지불 딴 업체보다 저렴하고 계속 이용합니다 사용하기 너무좋아요,별표 5개 만점에 5개를 받았습니다.
161,161,65098d07c0f914f39493607a,Google 사용자,업데이트 후에 뒤로 가기 버튼을 눌러 엡을 종료하려고 해도 종료가 되지 않습니다.,별표 5개 만점에 3개를 받았습니다.
162,162,65098d07c0f914f39493607b,라면정복자피키,아이코젠 너무 잘 사용하고 있습니다 ^^ 앞으로도 아이코젠 흥하시면 좋겠어요. 항상 응원합니다.,별표 5개 만점에 5개를 받았습니다.
163,163,65098d07c0f914f39493607c,이원석,검색도 잘되고요 주변으로 운동 다니기 편리했습니다 .,별표 5개 만점에 5개를 받았습니다.
164,164,65098d07c0f914f39493607d,Google 사용자,업데이트후 실행자체가 안되서 민망하게 계속 기다리다 그냥 갑니다,별표 5개 만점에 1개를 받았습니다.
165,165,65098d07c0f914f39493607e,Google 사용자,GPS는 죽어도 개선이 되지 않는구나 차라리 이전처럼 스캔으로 바꾸던가,별표 5개 만점에 1개를 받았습니다.
166,166,65098d07c0f914f39493607f,이대규,제휴된곳도 점점 늘어가고 이용부분도 편리함 ! 혜택 부분이 정말 많음,별표 5개 만점에 5개를 받았습니다.
167,167,65098d07c0f914f394936080,최만준,"스포츠 활동을 자주 즐기시는분 강추 합니다!! 골프,사우나,헬스,카페 등등 혜택 적용이 다양해서 좋습니다.",별표 5개 만점에 5개를 받았습니다.
168,168,65098d07c0f914f394936081,Google 사용자,GPS 연결이 안되서 이용 못하는 고객불편은 전혀 고려하지 않은 상술이라 생각밖에 들지 않네요 당장 개선해 주세요,별표 5개 만점에 1개를 받았습니다.
169,169,65098d07c0f914f394936082,정수현,"운동 , 문화생활 , 각종 편의시설등 아이코젠으로 편리하게 이용할 수있네요",별표 5개 만점에 5개를 받았습니다.
170,170,65098d07c0f914f394936083,Google 사용자,회원가입 할때 필요한 사진 불러오기만 하면 어플이 강제종료 되네요 거지같은 어플 돈받고 쓰는 어플이면 서버관리를 제대로 하던가 아이디 조차 못만들게 하는건 대체 어느나라 어플임?? 그 전부터 이런문제로 리뷰있는데 여직 안고치고 뭐하는지 알수가 없네요,별표 5개 만점에 1개를 받았습니다.
171,171,65098d07c0f914f394936084,정다우구토,"편리하고, 다양한 시설이 이용가능하여, 대만족..!",별표 5개 만점에 5개를 받았습니다.
172,172,65098d07c0f914f394936085,Google 사용자,아이코젠 어플 쓰기도 편하고 주변센터 가까이있어서 자주 쓰게 되고 암튼 좋더라고요 ^^,별표 5개 만점에 5개를 받았습니다.
173,173,65098d07c0f914f394936086,박박동근,빨리 코로나 단계 떨어지고 운동 다니고 싶네요 ㅠ 암튼 이앱으로 편의점 잘 다니고 있습니다,별표 5개 만점에 5개를 받았습니다.
174,174,65098d07c0f914f394936087,장제연,회사 복지로 너무 잘쓰고 있어요! 많은 가맹점들이 꾸준히 추가되면 좋겠네요 감사합니다.,별표 5개 만점에 5개를 받았습니다.
175,175,65098d07c0f914f394936088,행하행하,저렴한가격으로 편리하게 헬스장이용중이에요 최고에요,별표 5개 만점에 5개를 받았습니다.
176,176,65098d07c0f914f394936089,Google 사용자,서버에접속이안되서입장이안됩니다. 정말짜증나네요.,별표 5개 만점에 1개를 받았습니다.
177,177,65098d07c0f914f39493608a,강지호,아이코젠 덕분에 평소보다 싼 가격으로 운동과 여가생활을 즐길 수 있습니다. 감사합니다,별표 5개 만점에 5개를 받았습니다.
178,178,65098d07c0f914f39493608b,최은서,제휴도 많이 되었고요 앱 사용도 간편합니다 ~ 자주 활용하겠습니다,별표 5개 만점에 5개를 받았습니다.
179,179,65098d07c0f914f39493608c,후니,가격도 싸고 좋은시설들을 전국 어디서나 사용할수 있어서 너무 좋습니다!,별표 5개 만점에 5개를 받았습니다.
180,180,65098d07c0f914f39493608d,Google 사용자,바코드 시스템에서 gps로 바뀌고 굉장히 불편해 졌어요 먼곳은 이용하기란도 안뜨고 시스템이 개선이안되고 퇴보한건가요?,별표 5개 만점에 1개를 받았습니다.
181,181,65098d07c0f914f39493608e,최최지윤,옛날엔 운동만 했는데 이젠 편의점도 제휴를 해놨네요! 진짜 편합니다,별표 5개 만점에 5개를 받았습니다.
182,182,65098d07c0f914f39493608f,Google 사용자,감사합니다 아이코젠 덕분에 요즘 운동 및 문화 생활 잘 즐기고 있네요,별표 5개 만점에 5개를 받았습니다.
183,183,65098d07c0f914f394936090,jun k,너무 잘 이용하고 운동 또는 라이프 이용 가능해서 너무좋아요~~,별표 5개 만점에 5개를 받았습니다.
184,184,65098d07c0f914f394936091,Google 사용자,아... 앱이안열림 세번째설치했는데도 계속뱅글뱅글 결국은 돈주고이용함. 이런 문제빨리해결해주세요,별표 5개 만점에 2개를 받았습니다.
185,185,65098d07c0f914f394936092,석성욱,울산 지역에서 헬스와 골프 연습장 잘이용 하고 있습니다. 저렴하게 헬스와골프를 즐길수 있어서 너무 좋아요.,별표 5개 만점에 5개를 받았습니다.
186,186,65098d07c0f914f394936093,Google 사용자,"아이코젠은 정말 사랑이네요 운동뿐만 아니라 카페, 네일 등 종목이 다양하네요",별표 5개 만점에 5개를 받았습니다.
187,187,65098d07c0f914f394936094,Google 사용자,운동하러 왔는데 정회원이라고되어 있는데도 아이코젠 가입후 정회원이여야 이용된다니 운동도 못하고 뭐이런게 다있어,별표 5개 만점에 1개를 받았습니다.
